episode,total_reward
0,-26.455090774876375
1,-20.34212068905582
2,-24.979850840193052
3,-2671.110042922023
4,-20.03367355453599
5,-27.391014576787732
6,-23.438845473695366
7,7.384352156908841
8,-20.360019957751785
9,-2.1950342854303013
10,-2586.7474675168496
11,-22.69111595096836
12,-23.009281551285056
13,-19.626603808638304
14,-20.724603343426246
15,-23.18062764370179
16,-2012.6994872917478
17,-8.551390036790323
18,-19.45268882205814
19,-8.997439278251512
20,-7.970509208092512
21,-19.897455881050956
22,-20.43104417255653
23,-19.166739313078082
24,-2992.680476461975
25,-0.13966454472598144
26,-24.751572773427327
27,-53.28548596224529
28,-9.976070743198537
29,-19.222116561437236
30,-2525.8408541594126
31,-21.027762489404385
32,-7.49216776299847
33,7.403841752041131
34,-10.109331392274353
35,-36.33248654294432
36,-9.175988498825074
37,-7.794047419712847
38,-22.73209420267021
39,-26.4615831693865
40,-8.079950565281944
41,-22.500305812364836
42,-27.609305938952005
43,-7.838377434959643
44,7.832984436972339
45,7.75869489081502
46,-7.376920147446938
47,-19.711819264567847
48,-1695.8634538697968
49,-19.641700712331698
50,-20.907799056808795
51,-26.95973815549015
52,-24.38845948011707
53,-23.181166531198606
54,-20.512718374787532
55,-20.437298934229556
56,-27.286256840107043
57,-12.350422532599008
58,-27.13155649712988
59,-8.17639731234895
60,-23.976239947002732
61,-26.177281885523612
62,-20.29344346949669
63,-24.678551231144375
64,4.349874501633026
65,-24.153340473234408
66,-23.896531667199092
67,-7.493441126333071
68,-734.2013218603944
69,-19.285113724483175
70,-7.760288154947155
71,-21.439890095629735
72,-23.728173982606762
73,-24.10065843481825
74,-19.168969735963955
75,-1301.6295759645798
76,-22.82992590550767
77,-19.211605149450758
78,-7.494173660663769
79,-20.560296554804204
80,-8.33432910852088
81,-19.161290260038964
82,-1896.2676132952972
83,-8.011013901957444
84,-24.79312082272061
85,-19.764717208255934
86,-19.523140923384183
87,-7.585062025587185
88,-441.0685851080612
89,-11.18556689881392
90,7.790256933122873
91,3.4737147453705326
92,-12.429570284680985
93,-77.85005312776448
94,7.440210003766354
95,-26.647657003280052
96,-20.186958713027053
97,-7.500047535400434
98,-21.42548213065847
99,-23.060000000000265
100,-23.731835842750577
