episode,total_reward
0,19.200581729344783
1,19.455479080486715
2,19.342952838232378
3,-32.94912025572303
4,19.430733419782698
5,19.28574702332425
6,19.36700626939203
7,19.97753525163315
8,19.43005239523159
9,19.834491911784966
10,-31.389414300856707
11,19.373019194755102
12,19.366280316264476
13,19.32410512812433
14,19.426655658746885
15,19.45743479947378
16,-19.618500137136788
17,19.696099547223
18,19.448897301108182
19,19.716316464697513
20,16.083660200771952
21,19.434811299227704
22,19.253487624025308
23,19.470583545342144
24,-39.23210830123156
25,19.827054917600456
26,19.31094450248512
27,18.97187366593367
28,19.630326793631003
29,19.44785807922937
30,-30.067832904092903
31,19.269509867361982
32,19.73905997138635
33,19.985177209048924
34,19.702746576487
35,19.40569072469018
36,19.718747999985478
37,19.74329547330362
38,19.32911220412486
39,19.305932464319046
40,19.778355667523556
41,19.353964089817097
42,19.277732451363384
43,19.765733118941185
44,19.98804126280827
45,19.889802596414377
46,19.755669962391902
47,19.445791933564873
48,-13.160899236775471
49,19.438754502027496
50,19.429885713991112
51,19.299313664827658
52,19.28989850353848
53,19.315531661885487
54,19.34488373554079
55,20.410043958949156
56,19.276707675938866
57,19.66213798663572
58,19.426328660248295
59,19.739033626352747
60,19.290774347932036
61,19.289253539438032
62,19.42704692587303
63,19.233716274266047
64,19.916845698527634
65,19.362788764515408
66,19.366873425375044
67,19.747787011374744
68,5.264921145623074
69,19.29728149861303
70,19.748529973498552
71,19.404014136318693
72,19.359161881125218
73,19.251036744629147
74,19.48279137600446
75,-5.985285491874178
76,19.347039220125744
77,19.466020108624253
78,19.73366071782703
79,19.336844499981197
80,19.714612359365084
81,19.466430065930975
82,-17.34935821394548
83,19.743665976055805
84,19.34899528244656
85,19.38980167396382
86,19.447534300065065
87,19.751228673883503
88,11.702920819555558
89,19.681858523105614
90,19.98916557184659
91,19.899322503402384
92,19.65299406314563
93,18.79129303699043
94,19.98153465094058
95,19.301821449884713
96,19.403297703620176
97,19.753555030331476
98,19.402466730911367
99,19.23292111983155
100,19.351029946788447
101,19.688295110398208
102,19.278683979079506
103,15.74520497864961
104,19.21259169833045
105,19.357836151178095
106,19.931470145658736
107,-6.4491056403943325
108,19.350821146468956
109,19.409605188190255
110,19.904404561588322
111,17.693086306219712
112,19.56561187151891
113,15.888240697586081
114,19.885486665210358
115,19.482379946946097
116,19.294431613282157
117,19.482393604432076
118,19.740620610823957
119,19.313867316477317
120,19.910583195862635
121,19.442494829114082
122,19.69275372190023
123,19.76626239583966
124,15.108617372790274
125,19.441612577796604
126,19.377819529357343
127,19.38327634357869
128,19.95735303216219
129,19.754094734173798
130,15.84225544638474
131,19.36941330129156
132,19.32425053707115
133,19.906631715840163
134,19.412266172806298
135,19.801708760631282
136,19.731967172390277
137,19.31436520206413
138,19.91761291015537
139,19.75259487973527
140,19.7385954645114
141,19.361329085300724
142,19.30391293366415
143,-11.952490797998372
144,19.818373387375562
145,14.782815380055776
146,17.953818093721466
147,19.350781565290482
148,19.182026883225213
149,19.486896199219085
150,19.755336992458446
151,19.2346610630685
152,19.741833030469063
153,19.41353230815003
154,19.455724222302816
155,19.43990877168646
156,19.789978733433927
157,19.44503062609175
158,19.327332633250663
159,19.43962990034429
160,19.690222474348033
161,19.392304156427222
162,19.443600749431926
163,19.68077370361763
164,19.23292111983155
165,19.389616355791464
166,19.65200145176817
167,19.352884138046438
168,19.744767801791113
169,19.325292104093464
170,19.327483168510923
171,16.533533027736212
172,20.163334237462383
173,19.942469860124085
174,19.297987474154997
175,19.77415912744174
176,19.741636552048462
177,19.32774260560339
178,19.384662414360427
179,19.3292486330057
180,19.30837000852233
181,19.41890255662669
182,19.887922508936725
183,19.279551927313022
184,19.712253522330386
185,19.656935157251418
186,19.498627475073736
187,19.45880297142797
188,19.356172751463024
189,19.881891709286563
190,19.987855564688434
191,16.14247870384903
192,19.293563023875045
193,19.466440926064045
194,19.467108348060286
195,19.662330221905354
196,19.80449766449958
197,19.406000552645146
198,19.345886676143746
199,-27.10032029096392
200,19.364172234532433
201,19.362778523181852
202,-38.016685784449166
203,19.482520454382943
204,2.3207890968602314
205,19.36714396129711
206,19.363860035989767
207,19.299664501496817
208,19.37024826635747
209,14.490712958862156
210,19.98460670328265
211,19.370094103428443
212,19.7453474626868
213,19.24910692579124
214,19.29824612227467
215,19.46520801914705
216,19.240721144359014
217,19.454823409156955
218,-33.37136402210325
219,19.890256995084222
220,19.792972445714824
221,19.381449591579873
222,19.860653225782343
223,16.009828361661388
224,19.38493281424875
225,19.31795645576397
226,19.712253522330386
227,-2.8498310369245967
228,19.405217111027802
229,19.31961282365002
230,19.254964420362537
231,18.871691233238813
232,19.43329489107642
233,-30.647629649291275
234,19.23292111983155
235,19.466411758040405
236,19.43263832852785
237,19.666613452463153
238,19.324280374202637
239,19.697538453305263
240,-9.171631830853872
241,19.205663583466027
242,19.17597350969476
243,19.34828791310192
244,19.27931298633892
245,19.347323918475645
246,19.329718305158146
247,19.23292111983155
248,19.169800712506323
249,19.394881037431187
250,19.318783177156668
251,19.712253522330386
252,19.97638718371299
253,19.130530948376343
254,19.73617664226721
255,19.362418690119917
256,16.419975953289782
257,19.950701665889646
258,11.129867707287397
259,19.312339040170606
260,19.418648033035623
261,19.01348506270592
262,19.367593628248986
263,-13.422585036927241
264,-20.433598245259773
265,19.362672615003625
266,19.72994653161019
267,18.81436102306372
268,19.292329901560695
269,19.687503688092516
270,15.706379946593724
271,19.755816212228133
272,19.348146378372963
273,19.47122181292052
274,19.418277099582113
275,19.378114720918504
276,19.40784040442107
277,19.671832773859094
278,19.29744988432566
279,-12.653822429964993
280,19.446205966445838
281,19.128368026419516
282,19.28461944402966
283,19.743445006038606
284,19.275785850896934
285,19.23292111983155
286,19.437025014954802
287,19.455401778730597
288,19.440960632390812
289,19.364137322092443
290,19.36611048575888
291,19.73640355687886
292,19.983794849511632
293,19.748769432720195
294,19.69920508233833
295,19.766083246271386
296,7.062148838462585
297,19.6834216719201
298,19.32550244802499
299,19.413347867918173
300,19.747866326504216
301,19.746691352679047
302,19.98473103597779
303,19.344123048330168
304,19.751117602017302
305,19.637396382155337
306,19.42331755221822
307,19.337944562758423
308,20.15458348966194
309,19.25404735362864
310,19.37269935426483
311,19.47128398833177
312,19.70045103191054
