episode,total_reward
0,5.235008345182816
1,6.8536953520855235
2,8.1411308613743
3,-3.650388435998012
4,6.462308123801226
5,7.778359252905483
6,9.016617467499973
7,10.307055140223845
8,11.150456126749956
9,12.239895889450313
10,0.80705303745769
11,9.578849045223006
12,10.600251798600729
13,11.282903782233088
14,12.455529139853171
15,13.48399702401373
16,6.405644216754767
17,11.456214021928409
18,12.103501991927496
19,13.13256211324717
20,9.678306578498175
21,14.284285196591519
22,14.481218219293265
23,15.357545499185917
24,2.915817283396465
25,11.750598025287609
26,12.358780766081683
27,13.809578980079003
28,13.852023921633489
29,14.412373473934569
30,4.132704582031012
31,11.15074859755903
32,12.601658748216538
33,13.355928085395123
34,14.07271150277031
35,15.52074028950416
36,15.133109279466037
37,15.643018812951997
38,15.625683023776865
39,16.242443707477676
40,16.967558438033805
41,16.794141179073076
42,17.174089058571987
43,17.820559524360053
44,17.870043433291844
45,18.083329195537345
46,18.375293252212487
47,18.31085223208576
48,14.556474956368927
49,15.735466293946317
50,16.02332146846074
51,16.708848638534946
52,16.52249899749095
53,16.8298162486651
54,16.986293476197808
55,22.51440673693391
56,17.3426628334538
57,18.064230847312267
58,18.482886404339542
59,18.411858036667123
60,17.910088623786034
61,18.066092446130007
62,18.521259617497947
63,18.03828563136
64,18.933550412553444
65,18.88040471188639
66,18.95334157616092
67,19.278911328131343
68,15.877158276990532
69,17.38013005480559
70,18.51475972286179
71,18.29199856228575
72,18.547275231821157
73,18.076860399858624
74,18.830984294367372
75,13.01171460577647
76,16.8820323076392
77,17.316327895270074
78,17.769876952999724
79,17.3605511358415
80,18.217277219718664
81,18.187474718644683
82,12.460713344803429
83,15.605752701378481
84,15.822786906168085
85,15.995552684519481
86,16.60983648595373
87,17.143888016937296
88,18.07109581676236
89,16.834924098702693
90,17.133806954820088
91,17.423978151998856
92,17.74835993561551
93,19.89977332819761
94,17.888070711458127
95,17.909710329128593
96,17.978240071144942
97,18.520981073001003
98,18.42649332057886
99,17.82648288417309
100,18.558159693377128
101,19.039525133579325
102,18.86705943469129
103,13.397404148463107
104,19.118834394998483
105,19.191544474389907
106,19.412361111815102
107,14.425980610590807
108,17.12077084024862
109,17.509682799763365
110,17.887517765390424
111,18.550965481642095
112,17.9627982060483
113,12.68064436900509
114,18.5470300584307
115,18.57875362124394
116,18.50043736238158
117,18.797001937349265
118,19.109437698340198
119,18.651506716201023
120,19.204057604188886
121,19.148656521475328
122,19.280006578438417
123,19.649846554882846
124,20.586235165629226
125,18.79972392223088
126,18.866441287948238
127,18.94875542947559
128,19.19537749187473
129,19.22846397005805
130,13.587160850067749
131,18.816348270896437
132,19.297714698146905
133,19.648284481055526
134,19.540047338894436
135,19.672092287978312
136,19.68494406608519
137,19.437082602304713
138,19.780855079438215
139,20.63447131296136
140,19.84456436214061
141,19.592887501751477
142,19.573264509583918
143,14.954903174841002
144,17.083969533893367
145,11.813824272597095
146,18.552092412741683
147,17.48934398376846
148,17.532077616412813
149,17.938221871698733
150,18.339608729824764
151,17.949979659941206
152,18.6594563723547
153,18.556196873680282
154,18.68040319448296
155,18.778876811004935
156,18.980553578616956
157,18.971946953116035
158,19.009285993896206
159,18.963303112964493
160,19.390845752294503
161,19.209987136596613
162,19.267921220538412
163,19.526045949461853
164,18.577322568481716
165,19.41145207519447
166,19.658528022268428
167,19.016385858175592
168,19.76375585430794
169,19.50959239346698
170,19.369669990715416
171,14.197979963681814
172,24.924639038259894
173,19.52583006015563
174,19.383084665062853
175,19.833535773986682
176,19.700853132589295
177,19.45380674118955
178,19.341896731841615
179,19.34288141230168
180,18.931949463606912
181,19.447722190035826
182,19.758580049487612
183,19.599135626249588
184,20.013309282241813
185,19.847593377554595
186,19.957862913301565
187,19.623374286734908
188,19.45251903490413
189,19.780597114397874
190,19.841014577786346
191,20.855546746881927
192,19.223617943396203
193,19.31008248243815
194,19.34805280480196
195,19.58612205942043
196,21.948762382648958
197,18.946640144061647
198,19.26848213939061
199,9.982941643350458
200,15.636024207128164
201,16.044103610067076
202,3.061933224621459
203,12.374442208059712
204,10.166399435533311
205,12.198895626131463
206,12.946157111846887
207,13.780258053352789
208,14.39670655141617
209,15.513758891069607
210,15.087266005005098
211,14.9903381620536
212,16.00312073605176
213,15.682000975565344
214,16.65119763057116
215,17.001485460910008
216,16.96222607036172
217,17.525936936067612
218,6.543367474951415
219,15.721561136098861
220,14.392584162223066
221,14.839745576555883
222,15.491562110457242
223,10.978574168984709
224,16.285417414874804
225,16.13682176800706
226,17.317638951120948
227,13.853138686245389
228,15.624721624795395
229,16.011989745114317
230,16.124043489343325
231,16.971868320204397
232,16.97543000621063
233,6.846509851107415
234,13.026118090939294
235,14.202077783428141
236,14.759074685137959
237,15.341843383987412
238,15.699438685497181
239,16.331741287090097
240,12.929768221433859
241,13.800424359991531
242,14.649312349095613
